Change Component Footprint: Designator=J1 Old Footprint=MOLEX 395021004 New Footprint=SULLINS NPPN041BFCN
Change Component Comment : Designator=J1 Old Comment=LIMIT_SWITCH New Comment=NPPN041BFCN-RC
Change component parameters: Designator = "J1" ("J1"); Footprint = "MOLEX 395021004"; UniqueID = "\JSGBQDOB" ("\JSGBQDOB")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://drawings-pdf.s3.amazonaws.com/10483.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/sullins-connector-solutions/NPPN041BFCN-RC/804806"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Post"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness - Mating"; Value = "Flash"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Length - Post"; Value = "0.094" (2.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Female Socket"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Push-Pull"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Height"; Value = "0.173" (4.40mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/21/2022 2:42:51 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Sullins Connector Solutions"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions Loaded"; Value = "All"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "NPPN041BFCN-RC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch - Mating"; Value = "0.079" (2.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.30"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Style"; Value = "Board to Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "S5751-04-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
